조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,동해,구룡포항,19.83,19.7,33.19,33.2,8.2,8.21,8.38,8.3,1.8,1.41,4.85,25.19,3.47,2.55,41.58,32.8,49.9,60.54,235.09,162.35,11.9,12.11,18.79,16.94,122.43,117.14,4.98,5.63,1.43,1.83,5.5
2017,동해,감포항,20.43,20.17,33.17,33.2,8.17,8.17,7.69,7.69,1.6,1.65,7,16.59,3.19,3.11,34.22,41.09,44.41,60.79,216.12,188.8,10.94,14.26,18.71,18.81,151.86,152.74,5.58,6.95,1.26,1.39,3.85
2017,남해,울산항,17.53,17.06,32.05,32.37,8.11,8.11,8.16,7.81,1.8,1.78,30.42,27.39,11.03,9.12,137.32,121.7,178.77,158.2,389.7,383.21,17.14,18.09,34.95,29.77,144.38,157.16,10.43,9.58,4.34,3.76,2
2017,남해,대변항,14.56,13.95,34,34.05,8.16,8.15,7.89,7.32,1.58,1.7,14.93,7.26,7.28,7.15,79.49,98.75,101.71,113.15,228.82,240.43,16.68,20.03,29.92,33.48,313.94,362.88,5.08,7,2.98,2.5,2.3
2017,남해,부산항,17.24,14.18,32.89,33.66,8.23,8.15,8.32,7.32,1.5,1.14,15.1,9.01,6.65,7.72,70.4,113.56,92.14,130.3,265.8,258.04,12.04,19.61,27.03,28.84,218.17,391.43,6.6,8.1,2.89,1.13,2.87
2017,남해,신항,16.84,15.27,31.39,32.73,8.16,8.16,7.5,7.42,1.61,1.34,60.79,39.09,15.05,9.65,125.06,65.79,200.9,114.52,331.88,259.48,14.66,12.68,30.54,29.16,591.82,420.95,10.9,19,0.95,1.54,1.1
2017,남해,마산항,17.09,15.96,28.16,31.48,8.22,8.09,8.25,6.04,2.89,2.45,13.69,15.88,17.61,1.86,132.2,9.78,163.49,27.52,329.84,429.42,24.72,16.66,40.49,45.36,941.74,344.44,11.4,6.65,5.59,1.45,1.55
2017,남해,옥포항,18.81,18.2,31.68,32.45,8.24,8.17,8.32,7.25,1.82,1.61,13.69,12.09,9.67,9.87,74.37,72.17,97.73,94.14,425.49,276.6,13.75,16.24,28.7,27.45,219.37,361.01,5,6.59,3.04,1.97,3.08
2017,남해,삼덕항,17.98,17.13,33.12,33.26,8.19,8.17,8.84,8.64,1.5,1.64,9.72,6.62,5.23,4.7,24.19,26.55,39.14,37.87,234.32,342.35,10.45,11.45,33.35,32.05,355.55,371.52,9.4,9.78,4.56,4.26,2.65
2017,남해,삼천포항,17.15,17.08,32.77,32.85,8.18,8.19,8.23,8.2,1.1,1.43,4.98,4.34,2.77,2.91,20.31,15.04,28.06,22.29,211.38,227.45,7.05,9.86,24.63,25.28,256.05,418.87,12.38,8.83,0.84,0.77,2.5
2017,남해,광 양 만,18.16,17.44,31.98,32.04,8.14,8.16,8.24,8.17,1.8,1.83,23.9,6.78,8.18,6.53,55.83,37.44,87.91,50.75,441.33,319.8,39.56,27.14,64.92,42.27,579.82,573.72,17.25,12.15,3.08,2.68,1.5
2017,남해,여수신항,16.9,16.61,32.33,32.57,8.24,8.22,8.75,7.97,1.56,1.64,6.35,4.66,2.91,3.61,14.65,8.71,23.9,16.97,299.96,229.58,6.19,14.66,28.17,30.01,211.21,459.85,14.02,8.23,2.96,1.55,3.65
